Composite Element REF	Beta_value	Chromosome	Start	End	Gene_Symbol	Gene_Type	Transcript_ID	Position_to_TSS	CGI_Coordinate	Feature_Type
cg00007239	0.871101380577855	chr4	164955893	164955894	FAM218A;TRIM61;TRIM61	protein_coding;protein_coding;protein_coding	ENST00000513876.3;ENST00000329314.5;ENST00000616332.1	-1056;21776;14110	CGI:chr4:164956884-164957294	N_Shore
cg00007269	0.0614715826520124	chr19	2945108	2945109	ZNF77;ZNF77	protein_coding;protein_coding	ENST00000314531.4;ENST00000588050.1	-174;-136	CGI:chr19:2944684-2945509	Island
cg00007300	0.0320718326335516	chr14	24052225	24052226	LRRC16B	protein_coding	ENST00000342740.5	224	CGI:chr14:24051780-24052635	Island
cg00007324	0.979307160828347	chr19	4047805	4047806	ZBTB7A;ZBTB7A	protein_coding;protein_coding	ENST00000322357.7;ENST00000601588.1	19141;17928	CGI:chr19:4047756-4048430	Island
cg00007326	0.880561952442629	chr19	13255232	13255233	CACNA1A;CACNA1A;CACNA1A;CACNA1A;CACNA1A;CACNA1A	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000360228.8;ENST00000573710.5;ENST00000573891.4;ENST00000585802.4;ENST00000587525.4;ENST00000614285.3	250993;251272;-133;20665;2169;250993	CGI:chr19:13255108-13255344	Island
cg00007420	0.141318048226017	chr6	99348856	99348857	FAXC;FAXC	protein_coding;protein_coding	ENST00000389677.5;ENST00000480148.1	800;1207	CGI:chr6:99349332-99350070	N_Shore
cg00007426	0.905142409371269	chr2	239483088	239483089	.	.	.	.	CGI:chr2:239527380-239528070	.
cg00007466	0.935883820614807	chr19	7520200	7520201	CTD-2207O23.11;ZNF358;ZNF358	antisense;protein_coding;protein_coding	ENST00000602083.1;ENST00000394341.2;ENST00000597229.1	261;997;4081	CGI:chr19:7519439-7520395	Island
cg00007540	NA	chr14	103142928	103142929	.	.	.	.	CGI:chr14:103138202-103139085	S_Shelf
cg00007644	0.58765365541207	chr11	20601713	20601714	SLC6A5;SLC6A5	protein_coding;protein_coding	ENST00000298923.10;ENST00000525748.4	2118;2312	CGI:chr11:20601174-20601853	Island
cg00007675	0.946253894389722	chr8	37749061	37749062	ERLIN2;ERLIN2;ERLIN2;ERLIN2;ERLIN2;RP11-863K10.4	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;processed_pseudogene	ENST00000276461.8;ENST00000518526.4;ENST00000519638.1;ENST00000521644.4;ENST00000521993.2;ENST00000521192.2	12433;12437;11494;12368;8695;-1056	CGI:chr8:37736316-37737185	.
cg00007800	NA	chr1	1907079	1907080	.	.	.	.	CGI:chr1:1908519-1909162	N_Shore
cg00007810	NA	*	-1	-1	.	.	.	.	.	.
cg00007898	0.0251267919230666	chr1	205211499	205211500	DSTYK;DSTYK	protein_coding;protein_coding	ENST00000367161.6;ENST00000367162.6	68;68	CGI:chr1:205210835-205211782	Island
cg00007981	0.0348674916617745	chr11	94129428	94129429	PANX1;PANX1	protein_coding;protein_coding	ENST00000227638.6;ENST00000436171.2	499;498	CGI:chr11:94128394-94129607	Island
cg00007987	0.965012741959844	chr19	55645064	55645065	CCDC106;ZNF581;ZNF581;ZNF581	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000592996.4;ENST00000270451.5;ENST00000587252.4;ENST00000588537.1	4001;1516;9604;1253	CGI:chr19:55644946-55645177	Island
cg00008004	0.0902730394347991	chr1	153783643	153783644	.	.	.	.	CGI:chr1:153783481-153783859	Island
cg00008033	NA	chr19	51926727	51926728	ZNF613;ZNF613;ZNF613;ZNF613;ZNF613;ZNF613;ZNF613	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000293471.9;ENST00000391794.7;ENST00000593379.1;ENST00000593395.1;ENST00000599683.4;ENST00000600853.1;ENST00000613007.3	-494;-709;-758;-421;-722;-748;46854	CGI:chr19:51949063-51949290	.
cg00008036	0.615456054588517	chr1	179742956	179742957	FAM163A	protein_coding	ENST00000341785.4	-208	CGI:chr1:179742812-179744816	Island
cg00008188	0.0483208547266294	chr14	68795977	68795978	ZFP36L1;ZFP36L1;ZFP36L1;ZFP36L1	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000336440.3;ENST00000553375.1;ENST00000557022.1;ENST00000557086.1	-1240;238;105;277	CGI:chr14:68792895-68796183	Island
cg00008345	0.928133321881845	chr2	231779133	231779134	PDE6D;PDE6D;PDE6D;PDE6D;PDE6D	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000287600.7;ENST00000409772.4;ENST00000428104.2;ENST00000477748.1;ENST00000486044.1	2177;2159;7140;2150;2131	CGI:chr2:231780603-231781795	N_Shore
cg00008387	0.107547313154907	chr16	50025100	50025101	CNEP1R1;CNEP1R1;CNEP1R1;CNEP1R1;CNEP1R1;CNEP1R1;CNEP1R1;CNEP1R1;CNEP1R1;CNEP1R1;CNEP1R1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000389134.8;ENST00000427478.5;ENST00000458059.6;ENST00000562576.4;ENST00000565457.4;ENST00000565556.4;ENST00000566093.1;ENST00000566482.4;ENST00000567712.1;ENST00000568890.4;ENST00000569647.1	-135;-107;689;-172;-181;-421;-1061;-165;-142;-156;-163	CGI:chr16:50024956-50025512	Island
cg00008446	0.724999510198901	chr1	156845982	156845983	INSRR;NTRK1;NTRK1;NTRK1;NTRK1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000368195.3;ENST00000392302.5;ENST00000489021.5;ENST00000497019.5;ENST00000530298.4	13037;30325;30341;30302;8772	CGI:chr1:156845089-156846000	Island
cg00008452	0.813148125813489	chr12	98732491	98732492	ANKS1B;APAF1;APAF1;APAF1;APAF1;APAF1;APAF1;APAF1;APAF1;APAF1;APAF1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000555119.1;ENST00000333991.4;ENST00000357310.4;ENST00000359972.5;ENST00000547045.4;ENST00000547666.1;ENST00000549007.1;ENST00000550527.4;ENST00000551964.4;ENST00000552268.4;ENST00000552929.1	18946;87190;87190;87190;84135;-1158;84130;84137;87349;84174;9221	CGI:chr12:98745608-98745991	.
cg00008488	0.105885346275663	chr5	175772912	175772913	.	.	.	.	CGI:chr5:175773312-175773552	N_Shore
cg00008493	0.928258478760869	chr14	93347431	93347432	COX8C;UNC79	protein_coding;protein_coding	ENST00000342144.2;ENST00000256339.7	239;14211	CGI:chr14:93347137-93347765	Island
cg00008544	0.848236827558644	chr5	180351527	180351528	GFPT2;GFPT2;GFPT2;GFPT2	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000253778.11;ENST00000503228.1;ENST00000503546.1;ENST00000518158.4	1861;1374;1810;1810	CGI:chr5:180352114-180354279	N_Shore
cg00008564	0.808259601302751	chr6	27862613	27862614	HIST1H2BN	protein_coding	ENST00000396980.4	23950	CGI:chr6:27865342-27865628	N_Shelf
cg00008612	0.824720592698088	chr13	60152109	60152110	DIAPH3;DIAPH3;DIAPH3;DIAPH3;DIAPH3;DIAPH3-AS2	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense	ENST00000267215.7;ENST00000377908.5;ENST00000400319.4;ENST00000400320.4;ENST00000400324.7;ENST00000428656.1	11658;11658;11658;11658;11879;7410	CGI:chr13:60163526-60164151	.
cg00008621	NA	chr14	61713265	61713266	HIF1A;HIF1A;HIF1A;HIF1A;HIF1A;HIF1A;HIF1A;HIF1A	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000323441.9;ENST00000337138.7;ENST00000394997.4;ENST00000539097.2;ENST00000553999.4;ENST00000557206.1;ENST00000557446.4;ENST00000557538.4	17487;17724;17724;15642;17751;14369;17751;15642	CGI:chr14:61695129-61696513	.
cg00008629	NA	chr9	112331381	112331382	PTBP3;PTBP3;PTBP3;PTBP3;PTBP3;PTBP3;PTBP3;PTBP3	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000210227.4;ENST00000334318.9;ENST00000343327.5;ENST00000374255.5;ENST00000374257.4;ENST00000450374.1;ENST00000458258.4;ENST00000487997.1	1649;2284;2198;2245;2287;2234;1646;2166	CGI:chr9:112332869-112334173	N_Shore
cg00008647	0.0301714540505422	chr1	206909555	206909556	FAIM3;FAIM3;FAIM3;FAIM3;FAIM3;FAIM3	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000367091.6;ENST00000442471.3;ENST00000463473.2;ENST00000474041.4;ENST00000528654.1;ENST00000628511.1	12444;12444;12387;391;12401;12313	CGI:chr1:206909348-206909857	Island
cg00008665	0.228521399934086	chr3	43105288	43105289	POMGNT2;POMGNT2	protein_coding;protein_coding	ENST00000344697.2;ENST00000441964.1	789;652	CGI:chr3:43105616-43106221	N_Shore
cg00008671	0.849589165896693	chr10	84328205	84328206	CCSER2;CCSER2;CCSER2	protein_coding;protein_coding;protein_coding	ENST00000224756.11;ENST00000359979.7;ENST00000372088.5	-459;-382;-385	CGI:chr10:84328406-84329177	N_Shore
cg00008695	0.928328470263658	chr8	1010721	1010722	ERICH1-AS1;ERICH1-AS1;ERICH1-AS1	antisense;antisense;antisense	ENST00000522092.4;ENST00000524139.4;ENST00000578889.1	273069;127522;127392	CGI:chr8:1012315-1012747	N_Shore
cg00008713	0.0798764090494853	chr18	11980954	11980955	IMPA2;IMPA2;IMPA2;IMPA2;IMPA2;IMPA2;IMPA2;IMPA2	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000269159.6;ENST00000383376.8;ENST00000588752.4;ENST00000588927.4;ENST00000589238.4;ENST00000590107.4;ENST00000590138.1;ENST00000625802.1	-475;-563;-72;-717;-84;-512;-658;-475	CGI:chr18:11980484-11982143	Island
cg00008737	0.965985453535866	chr19	50517943	50517944	LRRC4B;LRRC4B	protein_coding;protein_coding	ENST00000389201.6;ENST00000599957.4	50103;33100	CGI:chr19:50517039-50519539	Island
cg00008800	NA	chr2	38483029	38483030	AC016995.3;AC016995.3	lincRNA;lincRNA	ENST00000417039.4;ENST00000421463.4	32712;65	CGI:chr2:38535972-38536422	.
cg00008810	0.873715130034476	chr1	53459090	53459091	DMRTB1;DMRTB1	protein_coding;protein_coding	ENST00000371445.3;ENST00000463126.1	-310;-887	CGI:chr1:53459518-53460555	N_Shore
cg00008819	NA	chr4	3256064	3256065	MSANTD1;MSANTD1;MSANTD1;MSANTD1	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000438480.5;ENST00000505599.4;ENST00000507492.4;ENST00000510580.1	8587;7023;11694;6904	CGI:chr4:3253230-3253448	S_Shelf
cg00008823	0.0390014515310489	chr1	51878555	51878556	NRD1;NRD1;NRD1;NRD1;NRD1;NRD1;NRD1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000352171.10;ENST00000354831.10;ENST00000468722.1;ENST00000491410.1;ENST00000539524.4;ENST00000544028.4;ENST00000615102.1	251;251;169;217;-514;383;156	CGI:chr1:51878506-51879267	Island
cg00008839	0.0197143753937018	chr19	2269147	2269148	JSRP1;JSRP1;LLfos-48D6.2;OAZ1;OAZ1;OAZ1;OAZ1;OAZ1;OAZ1;OAZ1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000590976.1;ENST00000593238.2;ENST00000621615.1;ENST00000581150.5;ENST00000582888.7;ENST00000588673.3;ENST00000590943.5;ENST00000592787.2;ENST00000593012.1;ENST00000602676.5	262;613;-379;-374;-388;-1145;-363;-369;-403;-374	CGI:chr19:2269116-2271365	Island
cg00008932	0.594255092974754	chrX	72278747	72278748	PIN4;RPS4X;RPS4X	protein_coding;protein_coding;protein_coding	ENST00000439980.5;ENST00000316084.9;ENST00000373626.3	96981;-1446;-1498	CGI:chrX:72276850-72277377	S_Shore
cg00008945	0.469557630012237	chrX	81121880	81121881	HMGN5;HMGN5;HMGN5;HMGN5;HMGN5;HMGN5;HMGN5	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000358130.5;ENST00000373250.6;ENST00000430960.4;ENST00000436386.4;ENST00000447319.4;ENST00000451455.1;ENST00000491275.1	80063;-241;-196;80034;-191;80007;-191	CGI:chrX:81003590-81003994	.
cg00008971	0.400303930222342	chr1	45501253	45501254	CCDC163P;CCDC163P;CCDC163P;CCDC163P;CCDC163P;CCDC163P;CCDC163P;MMACHC;MMACHC	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000625766.1;ENST00000626177.1;ENST00000626657.1;ENST00000628293.1;ENST00000628397.1;ENST00000629482.1;ENST00000629670.1;ENST00000401061.7;ENST00000616135.1	-1204;-1173;-1278;-1278;-1199;-1278;-1399;1199;911	CGI:chr1:45499914-45500377	S_Shore
